book,chapter,verse,issue_type,verse_text,confidence
Genesis,11,31,length:abnormally_long,"తెరహు తన కుమారుడగు అబ్రామును, తన కుమారుని కుమారుడు, అనగా హారాను కుమారుడగు లోతును",medium
Genesis,19,9,length:abnormally_long,ఈ మనుష్యులు నా యింటినీడకు వచ్చియున్నారు గనుక వారిని మీరేమి చేయ కూడదని చెప్పినప్ప,medium
Genesis,24,7,length:abnormally_long,నా తండ్రి యింట నుండియు నేను పుట్టిన దేశము నుండియు నన్ను తెచ్చి నాతో మాటలాడి నీ స,medium
Genesis,24,14,length:abnormally_long,కాబట్టి నేను త్రాగునట్లు నీవు దయచేసి నీ కడవను వంచుమని నేను చెప్పగానీవు త్రాగుము ,medium
Genesis,26,4,length:abnormally_long,"ఏలయనగా నీకును నీ సంతానమునకును ఈ దేశములన్నియు ఇచ్చి, నీ తండ్రియైన అబ్రాహాముతో నేన",medium
Genesis,29,10,length:abnormally_long,"యాకోబు తన తల్లి సహోదరుడైన లాబాను కుమార్తెయగు రాహేలును, తన తల్లి సహోదరుడగు లాబాను",medium
Genesis,32,8,merged_word,తప్పించుకొనిపోవుననుకొని,medium
Exodus,2,14,length:abnormally_long,అప్పుడతడు అన్యాయము చేసినవాని చూచి నీ వేల నీ పొరుగు వాని కొట్టుచున్నావని అడుగగా అ,medium
Exodus,3,8,length:abnormally_long,"కాబట్టి ఐగుప్తీయుల చేతిలోనుండి వారిని విడిపించుటకును, ఆ దేశములోనుండి విశాలమైన మం",medium
Exodus,3,18,length:abnormally_long,వారు నీ మాట విందురు గనుక నీవును ఇశ్రాయేలీయుల పెద్దలును ఐగుప్తు రాజు నొద్దకు వెళ్,medium
Exodus,3,23,structural:missing_verse,,high
Exodus,3,24,structural:missing_verse,,high
Exodus,3,25,structural:missing_verse,,high
Exodus,3,26,structural:missing_verse,,high
Exodus,3,27,structural:missing_verse,,high
Exodus,5,24,structural:missing_verse,,high
Exodus,5,25,structural:missing_verse,,high
Exodus,5,26,structural:missing_verse,,high
Exodus,5,27,structural:missing_verse,,high
Exodus,5,28,structural:missing_verse,,high
Exodus,5,29,structural:missing_verse,,high
Exodus,5,30,structural:missing_verse,,high
Exodus,7,19,length:abnormally_long,మరియు యెహోవా మోషేతో ఇట్లనెను - నీవు అహరోనుతో నీకఱ్ఱను పట్టుకొని ఐగుప్తు జలములమీద,medium
Exodus,7,26,structural:missing_verse,,high
Exodus,7,27,structural:missing_verse,,high
Exodus,7,28,structural:missing_verse,,high
Exodus,7,29,structural:missing_verse,,high
Exodus,7,30,structural:missing_verse,,high
Exodus,7,31,structural:missing_verse,,high
Exodus,7,32,structural:missing_verse,,high
Exodus,7,33,structural:missing_verse,,high
Exodus,7,34,structural:missing_verse,,high
Exodus,13,15,length:abnormally_long,ఫరో మనలను పోనియ్యకుండ తన మనస్సును కఠినపరచుకొనగా యెహోవా మనుష్యుల తొలి సంతానమేమి జ,medium
Exodus,17,17,structural:missing_verse,,high
Exodus,17,18,structural:missing_verse,,high
Exodus,17,19,structural:missing_verse,,high
Exodus,17,20,structural:missing_verse,,high
Exodus,17,21,structural:missing_verse,,high
Exodus,17,22,structural:missing_verse,,high
Exodus,17,23,structural:missing_verse,,high
Exodus,17,24,structural:missing_verse,,high
Exodus,17,25,structural:missing_verse,,high
Exodus,17,26,structural:missing_verse,,high
Exodus,17,27,structural:missing_verse,,high
Exodus,19,26,structural:missing_verse,,high
Exodus,19,27,structural:missing_verse,,high
Exodus,19,28,structural:missing_verse,,high
Exodus,19,29,structural:missing_verse,,high
Exodus,19,30,structural:missing_verse,,high
Exodus,19,31,structural:missing_verse,,high
Exodus,19,32,structural:missing_verse,,high
Exodus,19,33,structural:missing_verse,,high
Exodus,19,34,structural:missing_verse,,high
Exodus,19,35,structural:missing_verse,,high
Exodus,19,36,structural:missing_verse,,high
Exodus,19,37,structural:missing_verse,,high
Exodus,19,38,structural:missing_verse,,high
Exodus,20,12,merged_word,దీర్ఘాయుష్మంతుడవగునట్లు,medium
Exodus,22,9,length:abnormally_long,"ప్రతి విధమైన ద్రోహమును గూర్చి, అనగా ఎద్దును గూర్చి గాడిదను గూర్చి గొఱ్ఱెను గూర్చ",medium
Exodus,29,21,length:abnormally_long,మరియు నీవు బలిపీఠము మీదనున్న రక్తములోను అభిషేక తైలములోను కొంచెము తీసి అహరోనుమీదన,medium
Exodus,32,13,length:abnormally_long,నీ సేవకులైన అబ్రాహామును ఇస్సాకును ఇశ్రాయేలు ను జ్ఞాపకము చేసికొనుము. నీవు వారితోఆ,medium
Exodus,32,13,merged_word,వారితోఆకాశనక్షత్రములవలె,medium
Exodus,32,32,merged_word,బ్రతిమాలుకొనుచున్నాననెను,medium
Leviticus,6,17,merged_word,అపరాధపరిహారార్థబలివలెను,medium
Leviticus,10,17,merged_word,పాపపరిహారార్థబలిపశువును,medium
Leviticus,16,16,length:abnormally_long,"అట్లు అతడు ఇశ్రాయేలీయుల సమస్త పాపములను బట్టియు, అనగా వారి అపవిత్రతను బట్టియు, వా",medium
Leviticus,17,17,structural:missing_verse,,high
Leviticus,17,18,structural:missing_verse,,high
Leviticus,17,19,structural:missing_verse,,high
Leviticus,17,20,structural:missing_verse,,high
Leviticus,17,21,structural:missing_verse,,high
Leviticus,17,22,structural:missing_verse,,high
Leviticus,17,23,structural:missing_verse,,high
Leviticus,17,24,structural:missing_verse,,high
Leviticus,17,25,structural:missing_verse,,high
Leviticus,17,26,structural:missing_verse,,high
Leviticus,17,27,structural:missing_verse,,high
Leviticus,23,37,length:abnormally_long,"యెహోవా నియమించిన విశ్రాంతిదినములు గాకయు, మీరు దానములనిచ్చు దినములుగాకయు, మీ మ్రొ",medium
Numbers,2,7,merged_word,జెబూలూనుగోత్రికులుండవలెను,medium
Numbers,5,27,length:abnormally_long,ఆ నీళ్లు ఆ స్త్రీకి త్రాగింపవలెను. అతడు ఆమెకు ఆ నీళ్లు త్రాగించిన తరువాత జరుగునద,medium
Numbers,8,19,length:abnormally_long,మరియు ప్రత్యక్షపు గుడారములో ఇశ్రా యేలీయుల నిమిత్తము సేవచేయుటకును ఇశ్రాయేలీయుల ని,medium
Numbers,15,39,merged_word,ప్రతిష్ఠితులైయుండునట్లు,medium
Numbers,16,3,merged_word,హెచ్చించుకొనుచున్నారనగా,medium
Numbers,18,8,merged_word,ప్రతిష్ఠించువాటన్నిటిలో,medium
Numbers,18,9,length:abnormally_long,"అగ్నిలో దహింపబడని అతి పరిశుద్ధమైన వాటిలో నీకు రావలసినవేవనగా, వారి నైవేద్యములన్ని",medium
Numbers,18,19,merged_word,ప్రతిష్ఠార్పణములన్నిటిని,medium
Numbers,29,8,length:abnormally_long,ప్రాయ శ్చిత్తము కలుగుటకై పాపపరిహారార్థబలియు నిత్యమైన దహనబలియు దాని నైవేద్యమును వ,medium
Numbers,33,54,length:abnormally_long,మీరు మీ వంశములచొప్పున చీట్లువేసి ఆ దేశమును స్వాస్థ్యములుగా పంచుకొనవలెను. ఎక్కువ ,medium
Deuteronomy,3,20,length:abnormally_long,అనగా మీ దేవుడైన యెహోవా యొర్దాను అద్దరిని వారి కిచ్చుచున్న దేశమును వారును స్వాధీన,medium
Deuteronomy,4,40,merged_word,దీర్ఘాయుష్మంతుడవగునట్లు,medium
Deuteronomy,6,2,length:abnormally_long,"నీ దేవుడైన యెహోవాకు భయపడి, నేను నీకాజ్ఞాపించు ఆయన కట్టడలన్నియు ఆజ్ఞలన్నియు నీ జీ",medium
Deuteronomy,6,2,merged_word,దీర్ఘాయుష్మంతుడవగునట్లు,medium
Deuteronomy,11,9,merged_word,దీర్ఘాయుష్మంతులగునట్లును,medium
Deuteronomy,13,5,length:abnormally_long,నీవు నడవవలెనని నీ దేవుడైన యెహోవా నీకాజ్ఞాపించిన మార్గములోనుండి నిన్ను తొలగించునట,medium
Deuteronomy,14,9,merged_word,పొలుసులుగలవాటినన్నిటిని,medium
Deuteronomy,17,2,length:abnormally_long,"నీ దేవుడైన యెహోవా నిబంధనను మీరి ఆయన దృష్టికి చెడ్డదానిని చేయుచు, నేనిచ్చిన ఆజ్ఞక",medium
Deuteronomy,19,12,merged_word,ప్రతిహత్యచేయువానిచేతికి,medium
Deuteronomy,22,7,merged_word,దీర్ఘాయుష్మంతుడవగునట్లును,medium
Deuteronomy,27,3,merged_word,శాస్త్రవాక్యములన్నిటిని,medium
Deuteronomy,27,9,merged_word,ఇట్లనిరిఇశ్రాయేలీయులారా,medium
Deuteronomy,30,20,length:abnormally_long,నీ పితరులైన అబ్రాహాము ఇస్సాకు యాకోబులకు ఆయన ప్రమాణము చేసిన దేశములో మీరు నివసించు,medium
Joshua,8,33,length:abnormally_long,అప్పుడు ఇశ్రా యేలీయులను దీవించుటకు యెహోవా సేవకుడైన మోషే పూర్వము ఆజ్ఞాపించినది జర,medium
Joshua,10,2,merged_word,అదోనీసెదెకుగిబియోనీయులు,medium
Joshua,10,12,length:abnormally_long,"యెహోవా ఇశ్రాయేలీయుల యెదుట అమోరీయు లను అప్పగించిన దినమున, ఇశ్రాయేలీయులు వినుచుండగ",medium
Joshua,22,24,merged_word,సంతానపువారితోఇశ్రాయేలీయుల,medium
Judges,5,2,merged_word,ఇశ్రాయేలీయులలోయుద్ధశాలులు,medium
Judges,5,30,length:abnormally_long,వారికి దొరకెను గదా? దోపుడుసొమ్ము పంచుకొను చున్నారు గదా? యోధులందరు తలాయొక స్త్రీన,medium
Judges,6,8,merged_word,ప్రకటించెనుఇశ్రాయేలీయుల,medium
Judges,8,21,merged_word,పల్మున్నాలుప్రాయముకొలది,medium
Judges,14,16,length:abnormally_long,కాబట్టి సమ్సోను భార్య అతని పాదములయొద్ద పడి యేడ్చుచునీవు నన్ను ద్వేషించితివి గాని,medium
Judges,16,20,merged_word,నిద్రమేలుకొనియెప్పటియట్లు,medium
Judges,16,20,merged_word,విడజిమ్ముకొందుననుకొనెను,medium
Judges,19,9,length:abnormally_long,ఆ మనుష్యుడు తానును అతని ఉపపత్నియు అతని దాసుడును వెళ్ల లేచినప్పుడు ఆ చిన్నదాని తం,medium
Judges,19,28,merged_word,ప్రత్యుత్తరమియ్యకుండెను,medium
Judges,20,12,merged_word,బెన్యామీనీయులందరియొద్దకు,medium
Judges,20,34,merged_word,ఇశ్రాయేలీయులందరిలోనుండి,medium
Ruth,4,4,length:abnormally_long,ఈ పుర నివాసులయెదుటను నా జనుల పెద్దలయెదుటను ఆ భూమిని సంపాదించుకొనుము; ఏమ నగా దాని,medium
Ruth,4,10,length:abnormally_long,"మరియు చనిపోయినవాని పేరట అతని స్వాస్థ్యమును స్థిరపరచునట్లును, చనిపోయినవాని పేరు అ",medium
Ruth,4,10,merged_word,పెండ్లిచేసికొనుచున్నాను,medium
1 Samuel,1,11,length:abnormally_long,"సైన్యములకధి పతివగు యెహోవా, నీ సేవకురాలనైన నాకు కలిగియున్న శ్రమను చూచి, నీ సేవకుర",medium
1 Samuel,2,30,length:abnormally_long,నీ యింటి వారును నీ పితరుని యింటివారును నా సన్నిధిని యాజ కత్వము జరిగించుదురని యెహ,medium
1 Samuel,4,16,merged_word,మనుష్యుడుయుద్ధములోనుండి,medium
1 Samuel,5,11,merged_word,పిలువనంపించిఇశ్రాయేలీయుల,medium
1 Samuel,7,5,merged_word,సమూయేలుఇశ్రాయేలీయులందరిని,medium
1 Samuel,9,9,merged_word,దీర్ఘదర్శియనిపించుకొనెను,medium
1 Samuel,12,3,length:abnormally_long,"ఇదిగో నేనున్నాను, నేనెవని యెద్దునైన తీసికొంటినా? ఎవని గార్దభమునైన పట్టు కొంటినా?",medium
1 Samuel,13,13,merged_word,రాజ్యమునుఇశ్రాయేలీయులమీద,medium
1 Samuel,16,1,merged_word,విచ్చెనుఇశ్రాయేలీయులమీద,medium
1 Samuel,16,15,merged_word,సేవకులుదేవునియొద్దనుండి,medium
1 Samuel,20,29,length:abnormally_long,"దయచేసి నన్ను పోనిమ్ము, పట్టణమందు మా యింటివారు బలి అర్పింపబోవుచున్నారునీవును రావల",medium
1 Samuel,20,29,merged_word,అర్పింపబోవుచున్నారునీవును,medium
1 Samuel,22,7,merged_word,ఇట్లనెనుబెన్యామీనీయులారా,medium
1 Samuel,24,2,merged_word,ఇశ్రాయేలీయులందరిలోనుండి,medium
1 Samuel,26,19,length:abnormally_long,"రాజా నా యేలిన వాడా, నీ దాసుని మాటలు వినుము. నామీద పడవలెనని యెహోవా నిన్ను ప్రేరేప",medium
2 Samuel,1,27,merged_word,పడిపోయిరియుద్ధసన్నద్ధులు,medium
2 Samuel,2,5,merged_word,యాబేష్గిలాదువారియొద్దకు,medium
2 Samuel,13,32,length:abnormally_long,దావీదు సహోదరుడైన షిమ్యాకు పుట్టిన యెహోనాదాబు దీనిని చూచిరాజకుమారులైన ¸యవ నులనందర,medium
2 Samuel,18,12,merged_word,ముట్టకుండజాగ్రత్తపడుడని,medium
2 Samuel,22,3,merged_word,రక్షకుడుబలాత్కారులనుండి,medium
2 Samuel,22,5,merged_word,చుట్టుకొనగనువరదపొర్లువలె,medium
2 Samuel,22,42,merged_word,ప్రత్యుత్తరమియ్యకుండును,medium
2 Samuel,24,13,length:abnormally_long,కావున గాదు దావీదునొద్దకు వచ్చి యిట్లని సంగతి తెలియజెప్పెనునీవు నీ దేశమందు ఏడు సం,medium
2 Samuel,24,17,merged_word,ప్రార్థించెనుచిత్తగించుము,medium
1 Kings,3,11,merged_word,విచ్చెనుదీర్ఘాయువునైనను,medium
1 Kings,5,9,length:abnormally_long,నా సేవకులు వాటిని లెబానోనునుండి సముద్రమునొద్దకు తెచ్చెదరు; అప్పుడు వాటిని తెప్పల,medium
1 Kings,11,1,length:abnormally_long,మోయాబీయులు ఎదోమీయులు అమ్మోనీయులు సీదోనీయులు హిత్తీయులు అను జనులు మీ హృదయ ములను త,medium
1 Kings,11,38,length:abnormally_long,"నేను నీకు ఆజ్ఞాపించినదంతయు నీవు విని, నా మార్గముల ననుసరించి నడచుచు, నా దృష్టికి ",medium
1 Kings,12,16,length:abnormally_long,కాబట్టి ఇశ్రాయేలు వారందరును రాజు తమ విన్నపమును వినలేదని తెలిసికొని రాజుకీలాగు ప్,medium
1 Kings,15,10,merged_word,సంవత్సరములుయెరూషలేమునందు,medium
1 Kings,19,11,length:abnormally_long,అందుకాయననీవు పోయి పర్వతముమీద యెహోవా సముఖమందు నిలిచి యుండుమని సెలవిచ్చెను. అంతట య,medium
1 Kings,20,34,length:abnormally_long,అంతట బెన్హదదుతమ తండ్రి చేతిలోనుండి నా తండ్రి తీసికొనిన పట్టణములను నేను మరల అప్పగ,medium
1 Kings,20,39,length:abnormally_long,రాజు వచ్చుట చూచి బిగ్గరగా రాజుతో ఈలాగు మనవి చేసికొనెనునీ దాసుడనైన నేను యుద్ధములో,medium
2 Kings,1,6,length:abnormally_long,వారుఒక మనుష్యుడు మాకు ఎదురుపడిమిమ్మును పంపిన రాజునొద్దకు తిరిగిపోయి అతనికి ఈ సంగ,medium
2 Kings,5,19,merged_word,చెప్పగాఒఎలీషానెమ్మదిగలిగి,medium
2 Kings,6,27,merged_word,ద్రాక్షగానుగలోనుండియైనను,medium
2 Kings,6,32,length:abnormally_long,అయితే ఎలీషా తన యింట కూర్చునియుండగా పెద్దలును అతనితో కూడ కూర్చుండి యున్నప్పుడు రా,medium
2 Kings,8,12,length:abnormally_long,హజాయేలునా యేలిన వాడవైన నీవు కన్నీళ్లు రాల్చెదవేమని అతని నడుగగా ఎలీషా యీలాగు ప్రత,medium
2 Kings,16,15,length:abnormally_long,అప్పుడు రాజైన ఆహాజు యాజకుడైన ఊరియాకు ఆజ్ఞాపించిన దేమనగా ఈ పెద్ద బలిపీఠముమీద ఉదయమ,medium
2 Kings,18,32,length:abnormally_long,"అటుపిమ్మట మీరుచావక బ్రదుకునట్లుగా మేము వచ్చి మీ దేశమువంటి దేశమునకు, అనగా గోధుమలు",medium
2 Kings,19,23,length:abnormally_long,ఇశ్రాయేలీయుల పరిశుద్ధ దేవునినేగదా నీ దూతలచేత యెహోవాను తిరస్కరించి పలికించిన మాటల,medium
2 Kings,24,1,merged_word,బబులోనురాజైననెబుకద్నెజరు,medium
1 Chronicles,6,70,merged_word,అర్ధగోత్రస్థానములోనుండి,medium
1 Chronicles,6,72,merged_word,ఖారుగోత్రస్థానములోనుండి,medium
1 Chronicles,10,11,merged_word,పరాక్రమశాలులైనవారందరును,medium
1 Chronicles,12,17,length:abnormally_long,దావీదు బయలుదేరి వారికి ఎదురుగా పోయి వారితో ఇట్లనెనుమీరు సమాధానము కలిగి నాకు సహాయ,medium
1 Chronicles,12,18,length:abnormally_long,"అప్పుడు ముప్పదిమందికి అధిపతియైన అమాశై ఆత్మవశుడైదావీదూ, మేము నీవారము; యెష్షయి కుమ",medium
1 Chronicles,12,40,length:abnormally_long,ఇశ్రాయేలీయులకు సంతోషము కలిగియుండెను గనుక ఇశ్శాఖారు జెబూలూను నఫ్తాలి అనువారి పొలి,medium
1 Chronicles,15,13,length:abnormally_long,"ఇంతకుముందు మీరు ఇశ్రా యేలీయుల దేవుడైన యెహోవా మందసమును మోయక యుండుటచేతను, మనము మన ",medium
1 Chronicles,16,20,merged_word,రాజ్యమునుండిరాజ్యమునకును,medium
1 Chronicles,16,36,length:abnormally_long,మేము నీ పరిశుద్ధనామమునకు కృతజ్ఞతాస్తుతులు చెల్లించునట్లు నిన్ను స్తుతించుచు అతిశ,medium
1 Chronicles,17,9,length:abnormally_long,"మరియు నేను నా జనులైన ఇశ్రాయేలీయుల కొరకు ఒక స్థలము ఏర్పరచి వారిని నాటుదును, వారు ",medium
1 Chronicles,18,10,length:abnormally_long,హదరెజెరునకును తోహూకును విరోధము కలిగియుండెను గనుక రాజైన దావీదు హదరెజెరుతో యుద్ధము,medium
1 Chronicles,21,12,length:abnormally_long,"మూడేండ్ల పాటు కరవు కలుగుట, మూడు నెలలపాటు నీ శత్రువులు కత్తిదూసి నిన్ను తరుమగా నీ",medium
1 Chronicles,22,5,length:abnormally_long,నా కుమారుడైన సొలొమోను పిన్నవయస్సుగల లేతవాడు; యెహోవాకు కట్టబోవు మందిరము దాని కీర్,medium
1 Chronicles,24,6,length:abnormally_long,"లేవీయులలో శాస్త్రిగానున్న నెతనేలు కుమారుడగు షెమయా రాజు ఎదుటను, అధిపతుల యెదు టను,",medium
1 Chronicles,27,11,merged_word,సంబంధుడునుహుషాతీయుడునైన,medium
1 Chronicles,28,1,length:abnormally_long,"గోత్రముల పెద్దలను, వంతులచొప్పున రాజునకు సేవచేయు అధిపతులను సహస్రాధిపతులను, శతాధిప",medium
1 Chronicles,28,4,length:abnormally_long,ఇశ్రాయేలీయులమీద నిత్యము రాజునై యుండుటకు ఇశ్రాయేలీయుల దేవుడైన యెహోవా నా తండ్రి యి,medium
1 Chronicles,28,8,length:abnormally_long,"కాబట్టి మీరు ఈ మంచిదేశమును స్వాస్థ్యముగా అనుభవించి, మీ తరువాత మీ సంతతివారికి శాశ",medium
1 Chronicles,28,9,length:abnormally_long,"సొలొమోనా, నా కుమారుడా, నీ తండ్రియొక్క దేవుడైన యెహోవా అందరి హృదయములను పరిశోధించువ",medium
1 Chronicles,29,2,length:abnormally_long,"నేను బహుగా ప్రయాసపడి నా దేవుని మందిరమునకు కావలసిన బంగారపు పనికి బంగారమును, వెండి",medium
2 Chronicles,2,4,length:abnormally_long,నా దేవుడైన యెహోవా సన్నిధిని సుగంధ వర్గములను ధూపము వేయుటకును సన్నిధి రొట్టెలను ని,medium
2 Chronicles,2,14,length:abnormally_long,"అతడు దాను వంశపురాలగు ఒక స్త్రీకి పుట్టినవాడు, వాని తండ్రి తూరు సంబంధమైనవాడు, అతడ",medium
2 Chronicles,7,5,length:abnormally_long,రాజైన సొలొమోను ఇరువది రెండువేల పశువులను లక్ష యిరువది వేల గొఱ్ఱెలను బలులుగా అర్పి,medium
2 Chronicles,8,14,length:abnormally_long,అతడు తన తండ్రియైన దావీదు చేసిన నిర్ణయమునుబట్టి వారి వారి సేవాధర్మములను జరుపుకొను,medium
